C13 - Main benefits of recruiting young people,,,,,,,,,,,,,,,,,,,,
,Country,,,,6 Sector grouping,,,,,,Establishment size,,,,,Organisation type,,,Work experience,
,England,Northern Ireland,Scotland,Wales,Primary sector and utilities,Manufacturing,Construction,"Trade, accommodation and transport",Business and other services,Non-market services,2 to 4,5 to 9,10 to 24,25 to 99,100+,For profit,Charity,Government,Yes - any,No
Can be moulded into own way of doing things,23,27,34,37,37,37,30,34,28,33,30,32,32,31,33,24,22,32,31,29
Their enthusiasm,26,28,32,23,20,17,31,32,34,29,32,31,29,29,29,41,38,25,29,31
They are willing to learn,23,20,21,24,18,25,21,19,20,21,20,21,21,19,18,18,21,20,21,20
Easier to train,22,15,16,17,19,14,17,16,16,17,17,17,16,13,16,16,15,16,16,15
They bring new/fresh ideas,10,11,13,5,8,10,8,15,20,10,11,12,15,19,12,23,23,11,10,9
They are relatively inexpensive,9,9,9,6,11,9,12,13,8,13,13,11,8,7,14,7,6,14,10,10
More flexible with working hours,14,9,8,2,5,2,12,5,5,3,8,9,9,7,5,5,3,5,8,11
Social responsibility / give young people a chance,8,6,7,11,4,3,6,6,8,5,5,6,7,9,6,11,8,2,6,5
Secures future of the business,3,6,6,5,7,3,5,4,5,3,3,4,6,11,3,5,6,3,4,3
"Good personal qualities (e.g. interpersonal skills, hard working, reliable)",8,3,3,6,2,4,5,3,4,4,4,5,3,3,3,6,4,5,5,6
Better with IT/technology,2,2,4,2,2,3,2,3,3,2,4,3,2,3,3,2,5,1,2,3
Younger people are healthier / fitter,5,5,2,7,4,5,2,2,2,3,3,3,2,2,3,2,2,4,3,3
They are available,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,3,1,1
Creates a more diverse workforce,0,1,2,0,1,0,1,1,2,1,1,1,1,3,1,3,3,0,1,1
