C17 - If have had anyone on the following placements in the last 12 months,
,,Country,,,,6 Sector grouping,,,,,,Establishment size,,,,,Type of site,,,SME,,Organisation type,,,Length of time operating,,,,Vacancies in last 12 months,,Recruited in last 12 months,,Work experience,,Training,,,,,Vocational Qualifications,,Apprenticeships,,Formal Apprenticeships,,Investors in People,,Business outlook - next 12 months,,,Largest staff group,,,,Vacancies/Recruitment,,,Training and Planning,,,,Young Growth Businesses,
,Total,England,Northern Ireland,Scotland,Wales,Primary sector and utilities,Manufacturing,Construction,"Trade, accommodation and transport",Business and other services,Non-market services,2 to 4,5 to 9,10 to 24,25 to 99,100+,Single site,Multisite (head office),Multisite (not HO),Non-SME,SME,For profit,Charity,Government,Under 1 year,1 to 3 years,Over 3 to 5 years,Over 5 years,Yes,No,Yes,No,Yes - any,No,Internal training only,External training only,Int and ext training,YES - ANY TRAINING, NO TRAINING,Yes,No,Currently have / offer,Don't have / offer,Formal,Did not offer / informal,Accredited,Not accredited,Grow,Contract,Remain the same,Professional / managers,Other 'white collar' staff,Skilled manual staff,Other manual staff,Recruited in last 12 months,"Had vacancies, did not recruit in last 12 months",No vacancies in last 12 months,Plan and train,Plan but dont train,Don't plan but do train,Dont plan and dont train,Young Growth Business,Other Business
Placements for people at school,18,18,17,16,20,8,13,9,15,20,34,12,18,23,31,49,16,25,19,20,17,15,29,37,10,13,15,18,21,15,21,18,64,0,13,20,25,20,11,27,16,32,15,33,15,24,16,16,13,15,16,17,21,16,21,18,15,21,13,13,9,14,18
Placements for people at college,9,9,14,8,11,6,4,3,6,9,29,5,9,13,21,29,8,13,12,13,9,7,24,25,7,7,7,10,12,7,13,9,34,0,7,9,16,11,4,17,8,19,7,20,8,16,8,8,5,6,8,8,12,8,13,9,7,12,5,6,3,6,9
Placements for people at university,7,7,8,8,6,4,4,2,3,9,18,4,6,10,17,33,5,14,8,11,6,5,19,20,3,6,6,7,10,4,11,6,25,0,5,6,12,9,2,11,7,10,6,10,6,12,6,7,2,4,8,9,7,4,11,6,4,9,3,4,1,10,7
"Internships, either paid or unpaid",3,3,4,3,3,1,3,1,2,5,7,2,3,4,7,19,3,7,3,5,3,3,10,5,1,3,4,4,5,2,5,3,13,0,3,3,5,4,2,5,3,6,3,5,3,5,3,4,2,2,4,5,3,2,5,3,2,4,2,2,1,3,3
Placements targeted at giving work experience to the unemployed,4,4,8,6,7,3,1,2,5,3,9,3,4,4,7,15,3,5,8,9,3,3,17,8,4,4,3,4,6,3,6,4,15,0,5,3,6,5,2,7,3,9,3,9,3,9,3,3,2,2,4,4,4,5,6,4,3,5,2,2,1,3,4
Work trials for potential new recruits,3,3,2,3,4,2,3,2,3,4,5,2,4,4,8,8,3,4,4,4,3,3,5,3,4,5,4,3,6,1,6,4,12,0,3,3,5,4,1,6,3,8,2,9,2,5,3,4,2,2,2,3,4,3,6,4,1,4,2,3,*,9,3
Other type of placements,2,2,1,2,2,1,1,1,1,2,5,1,1,2,3,5,1,3,2,3,1,1,7,5,2,1,1,2,2,1,2,2,6,0,1,2,3,2,*,3,2,2,1,2,1,3,1,1,*,1,2,2,1,1,2,2,1,2,1,1,*,2,2
Do not offer placements,72,73,68,73,70,83,80,85,78,68,48,80,72,64,52,32,75,61,69,66,74,76,47,50,81,75,74,72,66,79,65,71,0,100,77,71,61,68,84,59,74,55,76,53,75,61,75,74,82,77,74,71,69,76,65,71,79,67,80,78,88,71,72
Don't know if offer placements,*,*,*,1,*,*,*,*,1,*,1,*,*,1,1,2,*,1,1,1,*,*,1,1,1,*,*,*,1,*,1,*,0,0,1,*,1,1,*,1,*,1,*,1,*,1,*,1,*,*,*,1,*,1,1,*,*,1,*,1,*,0,*
