C6B - Whether recruited any young people in the last 12 months (aged 16-18 or 19-24),
,,Country,,,,6 Sector grouping,,,,,,Establishment size,,,,,Type of site,,,SME,,Organisation type,,,Length of time operating,,,,Vacancies in last 12 months,Recruited in last 12 months,Work experience,,Training,,,,,Vocational Qualifications,,Apprenticeships,,Formal Apprenticeships,,Investors in People,,Business outlook - next 12 months,,,Largest staff group,,,,Vacancies/Recruitment,Training and Planning,,,,Young Growth Businesses,
,Total,England,Northern Ireland,Scotland,Wales,Primary sector and utilities,Manufacturing,Construction,"Trade, accommodation and transport",Business and other services,Non-market services,2 to 4,5 to 9,10 to 24,25 to 99,100+,Single site,Multisite (head office),Multisite (not HO),Non-SME,SME,For profit,Charity,Government,Under 1 year,1 to 3 years,Over 3 to 5 years,Over 5 years,Yes,Yes,Yes - any,No,Internal training only,External training only,Int and ext training,YES - ANY TRAINING, NO TRAINING,Yes,No,Currently have / offer,Don't have / offer,Formal,Did not offer / informal,Accredited,Not accredited,Grow,Contract,Remain the same,Professional / managers,Other 'white collar' staff,Skilled manual staff,Other manual staff,Recruited in last 12 months,Plan and train,Plan but dont train,Don't plan but do train,Dont plan and dont train,Young Growth Business,Other Business
Young people recruited were aged 16-18 only,9,9,7,11,8,13,7,10,12,7,5,11,10,9,6,2,10,7,7,6,10,10,3,4,5,11,12,8,9,9,9,9,9,11,7,8,14,8,8,16,7,17,7,7,10,8,11,12,8,4,11,10,9,8,13,12,16,8,9
Young people recruited were aged 19-24 only,38,37,40,40,40,38,33,35,35,40,41,33,37,40,43,43,35,40,41,42,36,38,36,36,46,39,33,38,38,38,39,37,37,32,42,39,26,40,38,34,39,34,39,39,37,40,36,36,36,41,38,38,38,39,30,38,19,38,38
Recruited both 16-18 and 19-24 year olds,15,15,12,15,16,6,14,9,24,11,12,6,12,19,26,40,12,16,20,24,12,16,11,10,12,13,17,15,15,15,18,14,15,11,17,16,11,20,12,29,12,30,12,22,12,18,11,13,9,10,17,26,15,16,15,9,4,14,15
Did not recruit any aged under 25,37,37,40,33,35,42,44,44,28,41,40,49,41,31,23,10,42,33,30,26,41,34,49,46,36,35,38,37,37,37,33,39,38,46,33,35,47,30,40,19,42,19,41,30,40,33,40,37,45,44,34,25,37,35,42,42,57,40,37
Recruited ages under 25 (unspec.),1,1,1,*,*,0,*,1,1,*,1,1,*,1,1,2,1,1,1,1,1,1,1,1,0,1,*,1,1,1,1,*,1,*,1,1,1,1,1,*,1,*,1,1,1,1,*,1,1,*,1,*,1,1,*,*,1,1,1
Don't know,1,1,1,1,1,1,2,1,1,1,1,*,*,1,2,4,1,2,1,1,1,1,1,2,1,*,*,1,1,1,1,1,1,*,1,1,1,1,1,1,1,1,1,1,1,1,3,*,1,1,1,1,1,1,*,0,3,0,1
ANY UNDER 25 RECRUITED,62,62,59,66,64,57,55,55,71,58,59,51,59,68,75,86,58,65,69,72,58,65,51,51,63,65,62,62,62,62,67,60,62,54,66,64,52,69,59,80,58,81,58,68,59,66,58,62,53,55,66,75,62,64,58,58,41,60,63
RECRUITED ANY 16-18,24,24,19,26,24,19,21,19,35,18,17,17,21,27,31,42,22,23,27,29,22,26,14,15,17,25,29,24,24,24,27,23,24,22,24,24,25,28,20,45,18,46,19,29,22,26,22,26,17,14,28,37,24,24,28,21,21,22,24
RECRUITED ANY 19-24,53,53,52,55,55,44,47,44,59,51,53,39,48,59,69,82,47,57,62,66,48,54,47,46,58,53,50,53,53,53,57,51,52,43,59,55,37,61,51,63,50,64,51,61,49,57,46,50,44,50,55,64,53,56,45,46,23,51,53
