T,15-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JH,Employer Perspectives 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TID,Table 30/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,C7 - Reasons for not employing any young people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,Base: All who haven't recruited young people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL1,,,Country,,,,6 Sector grouping,,,,,,Establishment size,,,,,Type of site,,,SME,,Organisation type,,,Length of time operating,,,,Vacancies in last 12 months,Recruited in last 12 months,Work experience,,Training,,,,,Vocational Qualifications,,Apprenticeships,,Formal Apprenticeships,,Investors in People,,Business outlook - next 12 months,,,Largest staff group,,,,Vacancies/Recruitment,Training and Planning,,,,Young Growth Businesses,
COL,,Total,England,Northern Ireland,Scotland,Wales,Primary sector and utilities,Manufacturing,Construction,"Trade, accommodation and transport",Business and other services,Non-market services,2 to 4,5 to 9,10 to 24,25 to 99,100+,Single site,Multisite (head office),Multisite (not HO),Non-SME,SME,For profit,Charity,Government,Under 1 year,1 to 3 years,Over 3 to 5 years,Over 5 years,Yes,Yes,Yes - any,No,Internal training only,External training only,Int and ext training,YES - ANY TRAINING, NO TRAINING,Yes,No,Currently have / offer,Don't have / offer,Formal,Did not offer / informal,Accredited,Not accredited,Grow,Contract,Remain the same,Professional / managers,Other 'white collar' staff,Skilled manual staff,Other manual staff,Recruited in last 12 months,Plan and train,Plan but dont train,Don't plan but do train,Dont plan and dont train,Young Growth Business,Other Business
UNR,Unweighted bases:,2570,1759,161,338,312,99,222,155,639,746,709,402,690,695,600,183,1344,362,864,706,1829,1865,332,342,60,107,116,2256,2570,2570,967,1593,612,243,1468,2323,247,1036,1238,365,2175,336,2234,660,1646,1092,133,603,588,569,1003,410,2570,2169,152,154,95,50,2520
PTR,Weighted bases:,272634,232679,7857,21130,10967,11671,17898,20126,73348,97542,52047,108569,77534,53890,28939,3702,164946,28509,79178,55533,212842,212180,33834,23781,8976,19215,16827,224414,272634,272634,83322,188580,80489,26896,126209,233594,39039,84903,143625,30614,238523,26966,245667,50021,194510,126812,14451,67252,81463,65225,89629,36317,272634,211892,22792,21702,16247,7591,265043
PRC,No young people applied,108558,92217,3571,8615,4155,5419,6634,7675,*26185,36993,*25651,41547,29495,22789,*13436,1290,64353,12234,31971,23172,84302,*80365,*17201,9655,3727,*9502,6699,*86635,108558,108558,31792,76593,33150,10923,*53388,*97461,*11097,35866,59665,13035,94117,11384,97174,*22465,*73552,*45427,5569,28104,32182,25191,35084,*16101,108558,*89680,*6718,7781,*4379,*4044,*104514
RTV,,40%,40%,45%,41%,38%,46%,37%,38%,36%,38%,49%,38%,38%,42%,46%,35%,39%,43%,40%,42%,40%,38%,51%,41%,42%,49%,40%,39%,40%,40%,38%,41%,41%,41%,42%,42%,28%,42%,42%,43%,39%,42%,40%,45%,38%,36%,39%,42%,40%,39%,39%,44%,40%,42%,29%,36%,27%,53%,39%
PRC,Quality: lack of skills,63015,*52465,2016,*6176,2358,*1478,*5311,5575,*14698,*25431,10521,23179,17836,13776,7415,809,40018,7063,*15934,11971,50197,*52445,*5423,4459,2268,3160,4198,52907,63015,63015,20045,42970,19040,6255,28613,53909,9106,20007,32878,7567,55448,6823,56192,*9215,*49148,*31806,3294,16470,17394,16477,22373,*6771,63015,49507,4797,4402,4309,1470,61545
RTV,,23%,23%,26%,29%,21%,13%,30%,28%,20%,26%,20%,21%,23%,26%,26%,22%,24%,25%,20%,22%,24%,25%,16%,19%,25%,16%,25%,24%,23%,23%,24%,23%,24%,23%,23%,23%,23%,24%,23%,25%,23%,25%,23%,18%,25%,25%,23%,24%,21%,25%,25%,19%,23%,23%,21%,20%,27%,19%,23%
PRC,Quality: lack of qualifications,40653,34064,*1677,3763,*1149,*901,2602,3376,*7960,*16506,*9307,14559,10301,9289,*5580,*924,26177,4272,10204,7790,32606,31114,4566,*4513,1887,2306,2439,34021,40653,40653,*15657,*24996,*9464,5113,*21048,35625,5028,*15074,19910,3928,36273,3693,36959,*6079,*31820,18589,2031,10018,13247,9423,14481,*3502,40653,32988,2807,2637,2221,1484,39169
RTV,,15%,15%,21%,18%,10%,8%,15%,17%,11%,17%,18%,13%,13%,17%,19%,25%,16%,15%,13%,14%,15%,15%,13%,19%,21%,12%,14%,15%,15%,15%,19%,13%,12%,19%,17%,15%,13%,18%,14%,13%,15%,14%,15%,12%,16%,15%,14%,15%,16%,14%,16%,10%,15%,16%,12%,12%,14%,20%,15%
PRC,Quality: lack of experience,80367,*65992,*3089,*7808,3478,*2100,5804,6411,19882,29284,16887,30552,22666,17231,8692,1226,48006,9061,23300,16155,62297,62467,9955,7448,2367,4952,4391,67940,80367,80367,*27237,*53107,23529,7669,37760,68958,11409,*27159,40552,*7546,*72107,6841,73526,13476,*61255,37987,4077,19552,23199,*23957,25086,*8126,80367,63883,6618,5076,4790,2496,77871
