C8 - Position or role last young person was recruited to,
,,Country,,,,6 Sector grouping,,,,,,Establishment size,,,,,Type of site,,,SME,,Organisation type,,,Length of time operating,,,,Vacancies in last 12 months,Recruited in last 12 months,Work experience,,Training,,,,,Vocational Qualifications,,Apprenticeships,,Formal Apprenticeships,,Investors in People,,Business outlook - next 12 months,,,Largest staff group,,,,Vacancies/Recruitment,Training and Planning,,,,Young Growth Businesses,
,Total,England,Northern Ireland,Scotland,Wales,Primary sector and utilities,Manufacturing,Construction,"Trade, accommodation and transport",Business and other services,Non-market services,2 to 4,5 to 9,10 to 24,25 to 99,100+,Single site,Multisite (head office),Multisite (not HO),Non-SME,SME,For profit,Charity,Government,Under 1 year,1 to 3 years,Over 3 to 5 years,Over 5 years,Yes,Yes,Yes - any,No,Internal training only,External training only,Int and ext training,YES - ANY TRAINING, NO TRAINING,Yes,No,Currently have / offer,Don't have / offer,Formal,Did not offer / informal,Accredited,Not accredited,Grow,Contract,Remain the same,Professional / managers,Other 'white collar' staff,Skilled manual staff,Other manual staff,Recruited in last 12 months,Plan and train,Plan but dont train,Don't plan but do train,Dont plan and dont train,Young Growth Business,Other Business
Managers,1%,1%,*%,1%,*%,3%,1%,1%,1%,2%,1%,2%,1%,1%,1%,2%,1%,1%,2%,1%,1%,1%,3%,2%,*%,1%,2%,1%,1%,1%,1%,1%,1%,2%,1%,1%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,3%,1%,1%,1%,1%,1%,2%,1%,2%,0%,1%
Professionals,4%,4%,2%,3%,3%,*%,2%,2%,*%,8%,8%,4%,3%,4%,5%,6%,5%,4%,3%,3%,5%,3%,6%,12%,1%,6%,5%,4%,4%,4%,7%,3%,3%,4%,5%,4%,3%,4%,4%,2%,5%,2%,5%,4%,5%,4%,1%,3%,10%,5%,3%,1%,4%,4%,3%,4%,1%,4%,4%
Associate professionals,10%,10%,9%,9%,8%,8%,8%,8%,4%,19%,9%,10%,12%,9%,9%,10%,10%,15%,9%,9%,10%,9%,18%,11%,4%,10%,6%,10%,10%,10%,12%,9%,8%,10%,12%,10%,6%,10%,11%,7%,11%,8%,11%,9%,10%,10%,6%,7%,15%,18%,8%,3%,10%,10%,5%,9%,10%,15%,10%
Administrative/clerical staff,14%,14%,10%,13%,14%,11%,10%,25%,6%,21%,17%,15%,13%,13%,13%,18%,15%,25%,9%,10%,16%,13%,18%,21%,9%,14%,19%,13%,14%,14%,15%,13%,11%,12%,16%,14%,9%,14%,14%,14%,14%,14%,13%,12%,15%,14%,10%,10%,18%,33%,7%,5%,14%,14%,8%,12%,13%,21%,13%
Skilled trades occupations,9%,8%,16%,8%,9%,11%,26%,33%,8%,6%,1%,12%,8%,8%,6%,8%,12%,9%,4%,4%,11%,10%,3%,2%,17%,12%,8%,8%,9%,9%,8%,9%,7%,13%,8%,8%,11%,10%,7%,17%,5%,16%,6%,6%,11%,9%,10%,11%,9%,2%,13%,6%,9%,8%,11%,11%,8%,14%,8%
Personal services staff,14%,14%,10%,12%,14%,*%,*%,0%,1%,16%,52%,12%,8%,14%,23%,13%,14%,11%,14%,13%,14%,11%,26%,32%,15%,13%,17%,13%,14%,14%,20%,10%,6%,17%,18%,14%,11%,22%,7%,20%,11%,21%,11%,19%,12%,10%,7%,15%,11%,5%,22%,9%,14%,15%,11%,6%,10%,8%,14%
Sales and customer services staff,21%,21%,25%,22%,21%,5%,9%,5%,42%,10%,2%,19%,30%,21%,15%,14%,10%,15%,37%,37%,13%,23%,6%,6%,14%,11%,14%,23%,21%,21%,15%,24%,35%,10%,14%,21%,26%,14%,26%,12%,24%,12%,24%,24%,14%,23%,23%,21%,13%,22%,19%,31%,21%,21%,25%,18%,27%,6%,21%
Machine operatives,3%,3%,2%,5%,4%,12%,16%,3%,3%,2%,*%,3%,3%,3%,4%,6%,3%,4%,3%,3%,4%,4%,1%,1%,1%,2%,3%,4%,3%,3%,2%,4%,2%,5%,4%,3%,3%,3%,3%,3%,3%,3%,3%,3%,4%,3%,3%,4%,2%,2%,4%,4%,3%,3%,3%,3%,3%,2%,3%
Elementary staff,20%,20%,20%,20%,23%,44%,20%,18%,32%,11%,5%,19%,19%,23%,21%,15%,24%,12%,17%,16%,22%,22%,14%,8%,34%,29%,25%,19%,20%,20%,14%,24%,23%,24%,17%,19%,29%,17%,22%,16%,22%,15%,22%,16%,23%,21%,30%,22%,14%,7%,18%,39%,20%,18%,31%,33%,24%,26%,20%
